Data;Temperatura;Umidade ;VelocidadedoVento;Precipitacao;Pressao;Geracao
01/01/2016;28.86;63.5;1.16;0;1000,34;16,31758333
02/01/2016;29.58;60.75;1.5;0;1000,30;29,66133333
03/01/2016;29.26;74.75;1.56;0;1000,19;33,10579166
04/01/2016;29.2;64;2.66;0;1000,19;29,73825
05/01/2016;29.02;63.75;1.83;0;1000,89;29,9935
06/01/2016;29.08;66;1.23;0;1000,89;29,445875
07/01/2016;27.46;77.25;1.83;0.2;1001,25;25,85695833
08/01/2016;24.96;94;0.36;0;1001,00;29,32966666
09/01/2016;26.52;75.75;0.43;0.2;1001,27;10,07966666
10/01/2016;26.7;82.5;0.83;0;1000,94;32,74004166
11/01/2016;28.36;62.5;1.5;0;1000,12;41,622
12/01/2016;28.82;62;0.9;0;999,39;37,946625
13/01/2016;28.36;68;1.83;0;999,50;17,67333333
14/01/2016;27.9;71;1.03;0;1000,69;12,13070833
15/01/2016;28.34;68.25;1.5;0;1000,46;16,76204166
16/01/2016;28.64;65;0.66;0;999,58;25,06820833
17/01/2016;27.12;81.5;0.5;0;1000,07;19,30029166
18/01/2016;27.5;80.5;0.83;30.8;999,55;21,389625
19/01/2016;24.3;89.75;0.5;12.6;1000,30;9,13258333
20/01/2016;25.8;83.25;1.6;7.2;999,60;4,051125
21/01/2016;23.86;92.25;0.83;9.4;1000,84;0
22/01/2016;25.92;84.25;0.43;3.6;1001,30;1,34441666
23/01/2016;26.96;84.25;1.26;0.2;1002,28;11,35733333
24/01/2016;26.26;91.5;1.6;0.2;1002,67;6,02320833
25/01/2016;26.5;73.25;0.83;0.2;1002,53;38,22916666
26/01/2016;26.12;86.5;0.7;0;1001,71;22,11616666
27/01/2016;26.82;74.5;1.5;0.2;1001,04;30,92333333
28/01/2016;25.94;84;0.23;0;1001,58;10,81458333
29/01/2016;26.5;76;0.76;0;1000,79;22,298
30/01/2016;26.3;70.5;0.73;0;1000,86;21,43116666
31/01/2016;25.1;88;0.5;0;1001,63;26,244875
01/02/2016;23.42;94.25;0.56;null;1002,57;8,18866666
02/02/2016;24.58;92.5;0.5;null;1001,03;6,90925
03/02/2016;25.56;93.5;0.33;null;1000,39;5,36708333
04/02/2016;26.62;82.5;0.66;null;1000,10;17,90566666
05/02/2016;26.64;77;0.26;null;1001,02;17,36466666
06/02/2016;26.64;80.75;0.53;null;1001,94;19,84895833
07/02/2016;26.98;76.25;1.1;null;1001,58;25,263
08/02/2016;26.1;85;0.83;null;1002,91;11,56079166
09/02/2016;26.48;82.75;0.66;null;1002,78;18,02654166
10/02/2016;27.16;80.5;0.83;null;1001,89;30,598625
11/02/2016;27.34;71.5;1;null;1001,11;19,933875
12/02/2016;27.28;79;1;null;1000,77;11,71095833
13/02/2016;27.14;74.5;1.33;null;1000,80;8,617125
14/02/2016;26.12;80;0.83;null;1000,80;15,742625
15/02/2016;26.62;77.5;0.43;null;1000,29;9,91691666
16/02/2016;27.92;69.25;0.75;null;999,49;25,7575
17/02/2016;27.78;75.5;0.66;null;999,22;25,24266666
18/02/2016;25.88;80.5;0.83;null;1000,30;18,67
19/02/2016;25.96;81.25;0.83;null;1000,18;27,35904166
20/02/2016;25.9;79.25;1.06;null;1000,59;25,6765
21/02/2016;27.16;73.25;0.83;null;998,81;29,279375
